Side,Shoulder_Angle,Elbow_Angle,Hip_Angle,Knee_Angle,Ankle_Angle,Shoulder_Ground_Angle,Elbow_Ground_Angle,Hip_Ground_Angle,Knee_Ground_Angle,Ankle_Ground_Angle,Label
left,5.336952761963368,11.459216982131728,169.38719165034482,177.29293631241404,168.47517540292228,1.0636583328337443,169.57924261584085,6.320258855227187,9.026820477718939,20.55234242409324,Bicep Curl
left,5.340626157888771,13.790152567065874,169.44020191074176,177.30126266861356,168.15965497804592,1.136250356106669,167.32221776285286,6.3372371229127324,9.035499838108883,20.876475522626805,Bicep Curl
left,5.470130526693655,18.88298849653291,169.63820197770073,177.34957268936716,167.53290539682035,1.5019762325920614,162.60064607740392,6.380508328029642,9.030486992209152,21.49810683175144,Bicep Curl
left,5.485875864150055,27.1410783308797,169.66328566934382,177.404913790675,167.1148686719131,1.5736812529483841,154.4154537340379,6.4121181439007096,9.006787841506467,21.892373454703282,Bicep Curl
left,4.98221631960322,42.15062757225425,169.84915278646136,177.43073252934198,166.75252783195785,1.2738869589782722,139.10327604006002,6.426804814033788,8.995676714499456,22.24354462258168,Bicep Curl
left,2.7764471273020086,71.06909389897768,170.05149769910008,177.4511297714297,166.45722981662104,0.752833772079491,108.20820773052333,6.452356138332921,9.000843487880639,22.54396287490919,Bicep Curl
left,1.3942287981347814,105.32479430310812,170.0637016906543,177.43188260897293,166.14150612771533,2.106781210268393,76.77113343547454,6.448733298333511,9.016469360632312,22.875265133079353,Bicep Curl
left,0.39626906330483763,148.0896966571368,170.0075093142066,177.4486801190344,166.05659321608724,3.1334991128735643,35.03891513380882,6.472702027221491,9.023652345964615,22.967348398623553,Bicep Curl
left,0.06859876880089046,177.07902632964561,169.95693447280289,177.43954054260516,166.03163688837893,3.493848744558296,0.7001039334720138,6.489783871310693,9.049886204547413,23.018529034064123,Bicep Curl
left,0.39914221879949596,153.11787509163847,169.8961811782185,177.47293403115762,166.04163368189228,3.182315580160388,23.71001249511206,6.532237875257544,9.0589609091037,23.017600386941695,Bicep Curl
left,0.449207739489629,152.841146456762,169.8778016568,177.5026222295663,166.01347145062147,3.110578688906074,24.058277432569042,6.572473943439313,9.069515085462385,23.05631061473726,Bicep Curl
left,0.6773856478261653,154.4423100833292,169.8325548383163,177.5835587145291,166.0002655559942,2.8498163612978273,22.718420324831047,6.651045788607834,9.067160134741812,23.06715569916656,Bicep Curl
